Country,FDI 2016,FDI 2017,FDI 2018,FDI 2019,Region,GDP 2018,tech_export_2018 (million)
Kuwait,"1,112","1,123","1,276","1,256",Middle East,"$140,645,364,238.41 ",231.3634
Kyrgyzstan,0,0,0,0,Asia,"$8,271,108,638.40 ",40.0237
Laos,0,0,0,0,Asia,"$17,953,786,416.14 ",467.9812
Latvia,(*),(*),(D),(D),Europe,"$34,313,873,284.59 ",1881.8568
Lebanon,23,19,19,16,Middle East,"$54,961,275,741.56 ",39.5293
Liberia,(D),457,466,461,Africa,"$3,264,000,000.00 ",0
Libya,-5,(D),1,(*),Africa,"$52,607,888,717.95 ",0
Lithuania,(D),(D),-4,(D),Europe,"$53,455,170,033.52 ",2516.3214
Luxembourg,"371,121","382,605","312,976","297,052",Europe,"$70,919,958,015.52 ",858.2699
Macau,19,19,(D),(D),Asia,"$55,084,050,789.72 ",0
Madagascar,0,-1,(*),(*),Africa,"$13,853,433,947.62 ",2.9993
Malaysia,"1,121","1,037","1,218",981,Pacific,"$358,581,943,446.26 ",90395.903
Maldives,0,0,0,0,Asia,"$5,327,457,149.73 ",0
Mali,-3,-2,-1,-1,Africa,"$17,172,022,684.31 ",0
Malta,"1,286","1,576","1,557","2,040",Europe,"$14,603,581,712.33 ",762.2507
Marshall Islands,-12,10,(D),(D),Pacific,"$221,278,000.00 ",0
Mauritania,(*),0,0,0,Africa,"$7,049,169,770.86 ",0
Mauritius,261,373,487,"4,682",Africa,"$14,181,803,715.40 ",31.2926
Mexico,"17,426","20,693","21,050","21,526",Central America& Caribbean,"$1,220,699,479,845.98 ",74886.1238
Micronesia,1,1,1,1,Pacific,"$401,932,300.00 ",0
Mongolia,(*),(D),-1,(*),Asia,"$7,188,238,072.74 ",6.7633
Montenegro,0,0,(*),(*),Europe,"$13,108,769,495.74 ",4.2465
Morocco,-14,(D),-22,-21,Africa,"$117,921,394,402.36 ",838.9599
Mozambique,-1,1,-1,(*),Africa,"$14,717,223,206.90 ",27.2201
Namibia,(*),(*),2,0,Africa,"$13,454,211,124.46 ",2.8883
Nepal,0,1,-1,(D),Aisa,"$29,173,513,475.56 ",0
Netherlands,"313,649","348,836","462,303","487,079",Europe,"$914,104,847,814.12 ",85690.5732
New Zealand,204,"1,029","2,107","2,550",Pacific,"$207,920,613,961.75 ",606.9409
Nicaragua,6,7,-8,-17,Central America& Caribbean,"$13,063,873,077.85 ",14.953
Niger,(*),0,0,(*),Africa,"$12,826,750,567.19 ",0
Nigeria,41,51,81,105,Africa,"$398,160,403,206.52 ",41.632
Norway,"24,794","22,800","26,007","24,221",Europe,"$434,166,615,431.91 ",4294.5429
