country_name,Country,indicator_name,indicator_code,tech_export_2017 (million),tech_export_2018 (million),tech_export_2019 (million)
Greenland,GRL,High-technology exports,TX.VAL.TECH.CD,1.7434,0.488,
Grenada,GRD,High-technology exports,TX.VAL.TECH.CD,,,
Guam,GUM,High-technology exports,TX.VAL.TECH.CD,,,
Guatemala,GTM,High-technology exports,TX.VAL.TECH.CD,246.9667,,241.8538
Guinea,GIN,High-technology exports,TX.VAL.TECH.CD,,,
Guinea-Bissau,GNB,High-technology exports,TX.VAL.TECH.CD,,,
Guyana,GUY,High-technology exports,TX.VAL.TECH.CD,0.2547,0.1604,
Haiti,HTI,High-technology exports,TX.VAL.TECH.CD,,,
Honduras,HND,High-technology exports,TX.VAL.TECH.CD,45.741,,
"Hong Kong SAR, China",HKG,High-technology exports,TX.VAL.TECH.CD,294000,330000,322000
Hungary,HUN,High-technology exports,TX.VAL.TECH.CD,16903.988,18065.9217,18467.445
Iceland,ISL,High-technology exports,TX.VAL.TECH.CD,167.5598,143.4308,
India,IND,High-technology exports,TX.VAL.TECH.CD,15161.0284,20273.0902,
Indonesia,IDN,High-technology exports,TX.VAL.TECH.CD,5974.8881,6389.6047,
"Iran, Islamic Rep.",IRN,High-technology exports,TX.VAL.TECH.CD,278.925,,
Iraq,IRQ,High-technology exports,TX.VAL.TECH.CD,,,
Ireland,IRL,High-technology exports,TX.VAL.TECH.CD,34827.0216,36493.7948,
Isle of Man,IMN,High-technology exports,TX.VAL.TECH.CD,,,
Israel,ISR,High-technology exports,TX.VAL.TECH.CD,12057.719,12971.903,
Italy,ITA,High-technology exports,TX.VAL.TECH.CD,32232.2767,32581.0252,34308.1725
Jamaica,JAM,High-technology exports,TX.VAL.TECH.CD,11.653,,
Japan,JPN,High-technology exports,TX.VAL.TECH.CD,106000,111000,104000
Jordan,JOR,High-technology exports,TX.VAL.TECH.CD,83.3232,142.1883,
Kazakhstan,KAZ,High-technology exports,TX.VAL.TECH.CD,1787.7205,1762.9777,2251.4914
Kenya,KEN,High-technology exports,TX.VAL.TECH.CD,48.6175,54.8993,
Kiribati,KIR,High-technology exports,TX.VAL.TECH.CD,,,
"Korea, Dem. People’s Rep.",PRK,High-technology exports,TX.VAL.TECH.CD,,,
"Korea, Rep.",KOR,High-technology exports,TX.VAL.TECH.CD,167000,193000,154000
Kosovo,XKX,High-technology exports,TX.VAL.TECH.CD,,,
Kuwait,KWT,High-technology exports,TX.VAL.TECH.CD,5.4459,231.3634,
Kyrgyz Republic,KGZ,High-technology exports,TX.VAL.TECH.CD,88.9598,40.0237,
Lao PDR,LAO,High-technology exports,TX.VAL.TECH.CD,389.7025,467.9812,
Latvia,LVA,High-technology exports,TX.VAL.TECH.CD,1413.241,1881.8568,1428.7463
Lebanon,LBN,High-technology exports,TX.VAL.TECH.CD,272.1655,39.5293,
Lesotho,LSO,High-technology exports,TX.VAL.TECH.CD,1.2541,,
Liberia,LBR,High-technology exports,TX.VAL.TECH.CD,,,
Libya,LBY,High-technology exports,TX.VAL.TECH.CD,,,
Liechtenstein,LIE,High-technology exports,TX.VAL.TECH.CD,,,
Lithuania,LTU,High-technology exports,TX.VAL.TECH.CD,2317.9361,2516.3214,
Luxembourg,LUX,High-technology exports,TX.VAL.TECH.CD,786.6412,858.2699,
"Macao SAR, China",MAC,High-technology exports,TX.VAL.TECH.CD,,,
Madagascar,MDG,High-technology exports,TX.VAL.TECH.CD,3.6827,2.9993,
Malawi,MWI,High-technology exports,TX.VAL.TECH.CD,8.4065,,
Malaysia,MYS,High-technology exports,TX.VAL.TECH.CD,74136.2797,90395.903,
Maldives,MDV,High-technology exports,TX.VAL.TECH.CD,0.0007,,
Mali,MLI,High-technology exports,TX.VAL.TECH.CD,3.0212,,
Malta,MLT,High-technology exports,TX.VAL.TECH.CD,655.8197,762.2507,758.6321
Marshall Islands,MHL,High-technology exports,TX.VAL.TECH.CD,,,
Mauritania,MRT,High-technology exports,TX.VAL.TECH.CD,,,
Mauritius,MUS,High-technology exports,TX.VAL.TECH.CD,28.4121,31.2926,24.2989
Mexico,MEX,High-technology exports,TX.VAL.TECH.CD,69687.0478,74886.1238,73421.8545
"Micronesia, Fed. Sts.",FSM,High-technology exports,TX.VAL.TECH.CD,,,
Moldova,MDA,High-technology exports,TX.VAL.TECH.CD,30.0608,18.9441,
Monaco,MCO,High-technology exports,TX.VAL.TECH.CD,,,
Mongolia,MNG,High-technology exports,TX.VAL.TECH.CD,3.7792,6.7633,
Montenegro,MNE,High-technology exports,TX.VAL.TECH.CD,5.1331,4.2465,
Morocco,MAR,High-technology exports,TX.VAL.TECH.CD,691.2665,838.9599,
Mozambique,MOZ,High-technology exports,TX.VAL.TECH.CD,32.1989,27.2201,
Myanmar,MMR,High-technology exports,TX.VAL.TECH.CD,285.9952,312.0546,
Namibia,NAM,High-technology exports,TX.VAL.TECH.CD,15.7901,2.8883,
Nauru,NRU,High-technology exports,TX.VAL.TECH.CD,,,
Nepal,NPL,High-technology exports,TX.VAL.TECH.CD,5.9935,,
Netherlands,NLD,High-technology exports,TX.VAL.TECH.CD,78192.8523,85690.5732,
New Caledonia,NCL,High-technology exports,TX.VAL.TECH.CD,,,
New Zealand,NZL,High-technology exports,TX.VAL.TECH.CD,564.4894,606.9409,572.7524
Nicaragua,NIC,High-technology exports,TX.VAL.TECH.CD,12.6124,14.953,
Niger,NER,High-technology exports,TX.VAL.TECH.CD,,,
Nigeria,NGA,High-technology exports,TX.VAL.TECH.CD,18.3156,41.632,
North Macedonia,MKD,High-technology exports,TX.VAL.TECH.CD,186.0639,234.1701,252.5936
Northern Mariana Islands,MNP,High-technology exports,TX.VAL.TECH.CD,,,
Norway,NOR,High-technology exports,TX.VAL.TECH.CD,4272.8278,4294.5429,
Oman,OMN,High-technology exports,TX.VAL.TECH.CD,48.3624,73.3026,
Pakistan,PAK,High-technology exports,TX.VAL.TECH.CD,362.3766,380.3684,400.7763
Palau,PLW,High-technology exports,TX.VAL.TECH.CD,1.2771,0.4016,
Panama,PAN,High-technology exports,TX.VAL.TECH.CD,,,
Papua New Guinea,PNG,High-technology exports,TX.VAL.TECH.CD,,,
Paraguay,PRY,High-technology exports,TX.VAL.TECH.CD,62.2535,102.3366,
Peru,PER,High-technology exports,TX.VAL.TECH.CD,212.4444,210.4786,
Philippines,PHL,High-technology exports,TX.VAL.TECH.CD,33502.4793,33903.5534,
Poland,POL,High-technology exports,TX.VAL.TECH.CD,19261.8539,22236.7724,20354.176
Portugal,PRT,High-technology exports,TX.VAL.TECH.CD,2816.2365,2978.2195,3474.2573
Puerto Rico,PRI,High-technology exports,TX.VAL.TECH.CD,,,
Qatar,QAT,High-technology exports,TX.VAL.TECH.CD,0.2923,0.0367,
Romania,ROU,High-technology exports,TX.VAL.TECH.CD,5558.6536,6637.1401,6994.4694
Russian Federation,RUS,High-technology exports,TX.VAL.TECH.CD,10483.8024,10183.0078,
Rwanda,RWA,High-technology exports,TX.VAL.TECH.CD,,,
Samoa,WSM,High-technology exports,TX.VAL.TECH.CD,0.0746,0.1421,
San Marino,SMR,High-technology exports,TX.VAL.TECH.CD,,,
Sao Tome and Principe,STP,High-technology exports,TX.VAL.TECH.CD,0.3866,1.3329,
Saudi Arabia,SAU,High-technology exports,TX.VAL.TECH.CD,261.7257,285.4141,
Senegal,SEN,High-technology exports,TX.VAL.TECH.CD,18.8091,28.1557,9.4121
Serbia,SRB,High-technology exports,TX.VAL.TECH.CD,396.9519,458.0794,
Seychelles,SYC,High-technology exports,TX.VAL.TECH.CD,63.1174,5.6111,1.9466
Sierra Leone,SLE,High-technology exports,TX.VAL.TECH.CD,0.0013,,
Singapore,SGP,High-technology exports,TX.VAL.TECH.CD,147000,155000,
Sint Maarten (Dutch part),SXM,High-technology exports,TX.VAL.TECH.CD,,,
Slovak Republic,SVK,High-technology exports,TX.VAL.TECH.CD,8812.9179,8971.2428,
Slovenia,SVN,High-technology exports,TX.VAL.TECH.CD,1755.3844,2089.3864,
Solomon Islands,SLB,High-technology exports,TX.VAL.TECH.CD,0.3052,0.1713,
Somalia,SOM,High-technology exports,TX.VAL.TECH.CD,,,
South Africa,ZAF,High-technology exports,TX.VAL.TECH.CD,2040.0013,2239.9458,
South Sudan,SSD,High-technology exports,TX.VAL.TECH.CD,,,
Spain,ESP,High-technology exports,TX.VAL.TECH.CD,17094.3475,16982.2448,
Sri Lanka,LKA,High-technology exports,TX.VAL.TECH.CD,79.0267,,
St. Kitts and Nevis,KNA,High-technology exports,TX.VAL.TECH.CD,6.842,,
St. Lucia,LCA,High-technology exports,TX.VAL.TECH.CD,3.9219,,
St. Martin (French part),MAF,High-technology exports,TX.VAL.TECH.CD,,,
St. Vincent and the Grenadines,VCT,High-technology exports,TX.VAL.TECH.CD,0.0001,0.0003,
Sudan,SDN,High-technology exports,TX.VAL.TECH.CD,0.5492,,
