Economy,Year,Ease of doing business score (DB17-20 methodology),Score-Starting a business,Starting a Business - Procedures - Men (number),Starting a Business - Time - Men (days),Starting a Business - Cost - Men (% of income per capita),Starting a Business - Procedures - Women (number),Starting a Business - Time - Women (days),Starting a Business - Cost - Women (% of income per capita),Starting a Business - Paid-in Minimum capital (% of income per capita),Score-Dealing with construction permits (DB16-20 methodology),Score-Dealing with construction permits (DB06-15 methodology),Dealing with Construction Permits - Procedures (number),Dealing with Construction Permits - Time (days),Dealing with Construction Permits - Cost (% of Warehouse value),Dealing with Construction Permits - Building quality control index (0-15) (DB16-20 methodology),Dealing with Construction Permits - Quality of building regulations index (0-2) (DB16-20 methodology),Dealing with Construction Permits - Quality control before construction index (0-1) (DB16-20 methodology),Dealing with Construction Permits - Quality control during construction index (0-3) (DB16-20 methodology),Dealing with Construction Permits - Quality control after construction index (0-3) (DB16-20 methodology),Dealing with Construction Permits - Liability and insurance regimes index (0-2) (DB16-20 methodology),Dealing with Construction Permits - Professional certifications index (0-4) (DB16-20 methodology),Score-Getting electricity (DB16-20 methodology),Score-Getting electricity (DB10-15 methodology),Getting Electricity - Procedures (number),Getting Electricity - Time (days),Getting Electricity - Cost (% of income per capita),Getting Electricity - Reliability of supply and transparency of tariff index (0-8) (DB16-20 methodology),Getting Electricity - Total duration and frequency of outages per customer a year (0-3) (DB16-20 methodology),Getting Electricity - Mechanisms for monitoring outages (0-1) (DB16-20 methodology),Getting Electricity - Mechanisms for restoring service (0-1) (DB16-20 methodology),Getting Electricity - Regulatory monitoring (0-1) (DB16-20 methodology),Getting Electricity - Financial deterrents aimed at limiting outages (0-1) (DB16-20 methodology),Getting Electricity - Communication of tariffs and tariff changes (0-1) (DB16-20 methodology),Getting Electricity - System average interruption duration index (SAIDI) (DB16-20 methodology),Getting Electricity - System average interruption frequency index (SAIFI) (DB16-20 methodology),Getting Electricity - Minimum outage time (in minutes)  (DB16-20 methodology),Getting Electricity - Price of electricity (US cents per kWh) (DB16-20 methodology),Score-Registering property (DB17-20 methodology),Score-Registering property (DB05-15 methodology),Registering Property - Procedures (number),Registering Property - Time (days),Registering Property - Cost (% of property value),Registering Property - Quality of land administration index (0-30) (DB17-20 methodology),Registering Property - Reliability of infrastructure index (0-8) (DB17-20 methodology),Registering Property - Transparency of information index (0-6) (DB17-20 methodology),Registering Property - Geographic coverage index (0-8) (DB17-20 methodology),Registering Property - Land dispute resolution index (0-8) (DB17-20 methodology),Registering Property - Equal access to property rights index (-2-0) (DB17-20 methodology),Score-Getting credit (DB15-20 methodology),Score-Getting credit (DB05-14 methodology),Getting Credit - Strength of legal rights index (0-10) (DB05-14 methodology),Getting Credit - Depth of credit information index (0-6) (DB05-14 methodology),Getting Credit - Getting Credit total score (DB05-14 methodology),Getting Credit - Strength of legal rights index (0-12) (DB15-20 methodology) ,Getting Credit - Depth of credit information index (0-8) (DB15-20 methodology) ,Getting Credit - Getting Credit total score (DB15-20 methodology) ,Getting Credit - Credit registry coverage (% of adults),Getting Credit - Credit bureau coverage (% of adults),Score-Protecting minority investors (DB15-20 methodology),Score-Protecting minority investors (DB06-14 methodology),Protecting Minority Investors - Extent of disclosure index (0-10),Protecting Minority Investors - Extent of director liability index (0-10),Protecting Minority Investors - Ease of shareholder suits index (0-10) (DB06-14 methodology),Protecting Minority Investors - Strength of investor protection index (0-30) (DB06-14 methodology),Protecting Minority Investors - Ease of shareholder suits index (0-10) (DB15-20 methodology) ,Protecting Minority Investors - Extent of shareholder rights index (0-6) (DB15-20 methodology) ,Protecting Minority Investors - Extent of ownership and control index (0-7) (DB15-20 methodology) ,Protecting Minority Investors - Extent of corporate transparency index (0-7) (DB15-20 methodology) ,Protecting Minority Investors - Strength of minority investor protection index (0-50) (DB15-20 methodology) ,Score-Paying taxes (DB17-20 methodology),Score-Paying taxes (DB06-16 methodology),Paying Taxes - Payments (number per year),Paying Taxes - Time (hours per year),Paying Taxes - Total tax and contribution rate (% of profit),Paying Taxes - Profit tax (% of profit),Paying Taxes - Labor tax and contributions (% of profit),Paying Taxes - Other taxes (% of profit),Paying Taxes - Time to comply with VAT refund (hours) (DB17-20 methodology),Paying Taxes - Time to obtain VAT refund (weeks) (DB17-20 methodology),Paying Taxes - Time to comply with a corporate income tax correction (hours) (DB17-20 methodology),Paying Taxes - Time to complete a corporate income tax correction (weeks) (DB17-20 methodology),Paying Taxes - Score-Postfiling index (0-100) (DB17-20 methodology),Score-Trading across borders (DB16-20 methodology),Score-Trading across borders (DB06-15 methodology),Trading across Borders - Time to export: Documentary compliance (hours) (DB16-20 methodology),Trading across Borders - Time to import: Documentary compliance (hours) (DB16-20 methodology),Trading across Borders - Time to export: Border compliance (hours) (DB16-20 methodology),Trading across Borders - Time to import: Border compliance (hours) (DB16-20 methodology),Trading across Borders - Cost to export: Documentary compliance (USD) (DB16-20 methodology),Trading across Borders - Cost to import: Documentary compliance (USD) (DB16-20 methodology),Trading across Borders - Cost to export: Border compliance (USD) (DB16-20 methodology),Trading across Borders - Cost to import: Border compliance (USD) (DB16-20 methodology),Trading across Borders - Documents to export (number) (DB06-15 methodology),Trading across Borders - Documents to import (number) (DB06-15 methodology),Trading across Borders - Cost to export (US$ per container deflated) (DB06-15 methodology),Trading across Borders - Cost to import (US$ per container deflated) (DB06-15 methodology),Trading across Borders - Time to export (days) (DB06-15 methodology),Trading across Borders - Time to import (days) (DB06-15 methodology),Score-Enforcing contracts (DB17-20 methodology),Score-Enforcing contracts (DB04-15 methodology),Enforcing Contracts - Procedures (number) (DB04-15 methodology),Enforcing Contracts - Time (days),Enforcing Contracts - Filing and service (days),Enforcing Contracts - Trial and judgment (days),Enforcing Contracts - Enforcement of judgment (days),Enforcing Contracts - Cost (% of claim),Enforcing Contracts - Attorney fees (% of claim),Enforcing Contracts - Court fees (% of claim),Enforcing Contracts - Enforcement fees (% of claim),Enforcing Contracts - Quality of judicial processes index (0-18) (DB17-20 methodology),Enforcing Contracts - Court structure and proceedings (0-5) (DB17-20 methodology),Enforcing Contracts - Case management (0-6) (DB17-20 methodology),Enforcing Contracts - Court automation (0-4) (DB17-20 methodology),Enforcing Contracts - Alternative dispute resolution (0-3) (DB17-20 methodology),Score-Resolving insolvency,Resolving Insolvency - Outcome (0 as piecemeal sale and 1 as going concern),Resolving Insolvency - Time (years),Resolving Insolvency - Cost (% of estate),Resolving Insolvency - Recovery rate (cents on the dollar),Resolving Insolvency - Strength of insolvency framework index (0-16),Resolving Insolvency - Commencement of proceedings index (0-3) (DB15-20 methodology),Resolving Insolvency - Management of debtor's assets index (0-6) (DB15-20 methodology),Resolving Insolvency - Reorganization proceedings index (0-3) (DB15-20 methodology),Resolving Insolvency - Creditor participation index (0-4) (DB15-20 methodology)
Lithuania,DB2018,80.6,93.1,4,5.5,0.6,4,5.5,0.6,19.3,84.8,,13,75,0.3,13,2,1,2,3,1,4,88.4,,4,85,42,8,3,1,1,1,1,1,0.5,0.4,3,9.1,92.9,,3,3.5,0.8,28.5,8,4.5,8,8,0,70,,,,,6,8,14,45.3,100,66,,7,4,,,7,4,5,6,33,87.8,,11,109,42.7,5.9,35.2,1.6,2,6,2,0,97.5,97.7,,3,1,9,0,28,0,58,0,,,,,,,78.8,,,370,40,240,90,23.6,8.6,6,9,15,3.5,4.5,4,3,46.9,0,2.3,15,40.6,8,2.5,4,0.5,1
Luxembourg,DB2018,69.6,88.8,5,16.5,1.7,5,16.5,1.7,18,83.9,,11,155,0.7,15,2,1,3,3,2,4,84.3,,5,56,34.4,7,3,1,1,1,0,1,0.3,0.2,3,11.3,63.9,,7,26.5,10.1,25.5,8,3.5,8,6,0,15,,,,,3,0,3,0,0,54,,6,5,,,4,4,2,6,27,87.4,,23,55,20.5,4.2,15.5,0.8,12,15,5,4,83.8,100,,1,1,0,0,0,0,0,0,,,,,,,73.3,,,321,21,240,60,9.7,8.7,0.1,0.9,8.5,4.5,1,0.5,2.5,45.4,0,2,14.5,43.8,7,2.5,3,0.5,1
Madagascar,DB2018,46.4,87.8,5,8,35.7,5,8,35.7,0,34.2,,17,194,57.7,5,2,0,0,2,1,0,20.9,,6,450,5393.2,0,0,0,0,0,0,1,..,..,N/A,14.2,44.2,,6,100,9.1,8,1,4,0,3,0,40,,,,,2,6,8,5.1,0,36,,7,6,,,5,0,0,0,18,62.7,,23,183,38.1,16.3,20.3,1.5,No VAT refund per case study scenario,No VAT refund per case study scenario,14,29,21.8,61,,49,58,70,99,117,150,868,595,,,,,,,42.8,,,871,21,700,150,33.6,11,7,15.6,5,2.5,0,0,2.5,34.2,0,3,8.5,11.4,9,2,5.5,0.5,1
Malawi,DB2018,59.5,76.4,7,37,44.6,7,37,44.6,0,59.2,,13,153,11.6,9.5,0,1,1,3,0.5,4,43.4,,6,127,2341.6,0,0,0,0,1,0,1,..,..,N/A,13.3,62.1,,6,69,1.8,10.5,0,1.5,4,5,0,90,,,,,11,7,18,0,23.5,58,,4,7,,,7,5,2,4,29,61.9,,35,184,34.5,20.4,12.4,1.7,33,44,20,28,33.4,65.3,,75,55,78,55,342,162,243,144,,,,,,,45.6,,,522,42,360,120,69.1,50,5.3,13.8,8.5,4.5,1,1.5,1.5,33.3,0,2.6,25,12.5,8.5,3,4,0.5,1
Malaysia,DB2018,78.8,80.1,9,23,12.7,10,24,12.7,0,83.3,,13,77,1.4,13,2,1,2,3,1,4,94.3,,4,31,28,8,3,1,1,1,1,1,0.5,0.6,1,12.9,76.1,,8,13,3.5,27.5,7,5.5,8,7,0,75,,,,,7,8,15,63.6,82.6,88,,10,9,,,8,5,6,6,44,76.1,,8,188,39.2,21.8,16.4,1,22,18,11,34,52.6,84.1,,10,10,45,69,35,60,274,274,,,,,,,68.2,,,425,35,270,120,37.9,30,1.7,6.2,13,4,4,2.5,2.5,62.5,1,1,10,81.3,6,2,2,0,2
Maldives,DB2018,53.2,89.1,6,12,4.7,6,12,4.7,1.7,72.9,,10,140,0.5,7,2,1,2,0,0,2,55.4,,6,75,283.5,0,0,0,0,0,0,1,353.1,78,5,43.4,40,,6,57,15.8,8.5,0,0,4,4.5,0,35,,,,,2,5,7,18.8,0,32,,0,8,,,8,0,0,0,16,66.1,,17,391,30.2,13.1,7.9,9.2,No VAT refund per case study scenario,No VAT refund per case study scenario,10,0,46.1,55.9,,48,61,42,100,300,180,596,981,,,,,,,52.5,,,760,30,260,470,18.5,16.4,2.1,0,5.5,2.5,0,1,2,33.3,0,1.5,4,50.2,2,2,0,0,0
Mali,DB2018,52.9,83.8,5,11,58.4,5,11,58.4,5.6,60.4,,14,124,10.1,8.5,1,1,0,2,1.5,3,51.1,,4,120,2794.6,0,0,0,0,1,0,0,..,..,0,13.9,51.4,,5,29,11.1,8,2,1.5,0,4.5,0,30,,,,,6,0,6,0.1,0.8,42,,7,1,,,5,4,2,2,21,51.5,,35,270,48.3,10.1,34.3,3.9,No VAT refund per case study scenario,No VAT refund per case study scenario,7,28,25.7,73.3,,48,77,48,98,33,90,242,545,,,,,,,41.9,,,620,15,240,365,52,30,15,7,4.5,2.5,0,0,2,43.2,0,3.6,18,28,9,2,5.5,0.5,1
Malta,DB2018,65.2,84.8,8,16,7.4,8,16,7.4,1.1,72.5,,17,176,2.5,14,2,1,2,3,2,4,79.4,,4,105,222.5,6,2,1,1,1,0,1,2,1.9,0,17.9,48.7,,7,15,13.5,12.5,6,3.5,0,3,0,30,,,,,2,4,6,53.6,0,66,,3,6,,,8,6,4,6,33,76.2,,8,139,43.9,32.3,11.1,0.5,0,28,25,46,52.5,88.9,,24,1,24,2,25,0,370,230,,,,,,,67.6,,,505,15,365,125,21.5,15,5.2,1.3,10.5,3,4,1,2.5,38.1,0,3,10,38.8,5.5,2.5,2,0,1
Marshall Islands,DB2018,50.9,88.5,5,17,11.9,5,17,11.9,0,70.9,,7,38,2.3,1,1,0,0,0,0,0,59.3,,5,67,675.4,0,0,0,0,0,0,1,..,..,30,40.4,0,,No Practice,No Practice,No Practice,No Practice,No Practice,No Practice,No Practice,No Practice,No Practice,50,,,,,10,0,10,0,0,20,,2,0,,,8,0,0,0,10,76.8,,9,56,64.8,0,11.8,53,No VAT,No VAT,No corporate income tax,No corporate income tax, ,78.9,,24,60,60,84,20,43,298,298,,,,,,,55.9,,,616,51,200,365,32.1,26.2,5,0.9,8,3,2,0.5,2.5,9.2,0,2,38,17.1,0,0,0,0,0
Mauritania,DB2018,48.4,91.8,4,6,19.3,4,6,19.3,0,64,,14,104,5.1,6,0.5,1,0,2,0.5,2,47.1,,5,67,4628.4,0,0,0,0,1,0,1,..,..,5,19.5,61.2,,4,49,4.6,7,2,2,0,4,-1,25,,,,,2,3,5,7.1,0,32,,6,3,,,7,0,0,0,16,42.6,,33,270,67,0,10.3,56.7,No VAT refund per case study scenario,No VAT refund per case study scenario,19,36,17.2,60.3,,51,64,62,69,92,400,749,580,,,,,,,60.4,,,370,40,190,140,23.2,17.9,2.3,3,5,2,0,1,2,0,0,No Practice,No Practice,0,0,2,4,0,0
