country_code,country_name,capital_city,lat,lng,GDP_2018 (million),tech_export_2018 (million),doing_business_2018,region,fdi_USA_2018 (million)
PHL,Philippines,Manila,14.6042,120.9822,346841.896889553,33903.5534,59.3,Asia,361.0
PRT,Portugal,Lisboa (Lisbon),38.7169,-9.1399,241274.628877362,2978.2195,76.5,Europe ,1056.0
ROU,Romania,Bucuresti (Bucharest),44.4328,26.1043,241626.953521413,6637.1401,73.0,Europe ,3.0
RUS,Russian Federation,Moskva (Moscow),55.755,37.6218,1669583.08932296,10183.0078,76.5,Europe ,4455.0
RWA,Rwanda,Kigali,-1.9474,30.0579,9627.72062970522,,71.1,Africa,0.0
SMR,San Marino,San Marino,43.9333,12.45,1637.93103448276,,61.9,Europe ,0.0
STP,Sao Tome and Principe,São Tomé,0.3365,6.7273,422.295934152254,1.3329,44.7,Africa,0.0
SAU,Saudi Arabia,Ar-Riyadh (Riyadh),24.6905,46.7096,786521.831573333,285.4141,62.1,Asia,6912.0
SEN,Senegal,Dakar,14.6937,-17.4441,23236.007428258203,28.1557,54.0,Africa,1.0
SRB,Serbia,Beograd (Belgrade),44.8176,20.4633,50597.28914670409,458.0794,73.8,Europe ,3.0
SYC,Seychelles,Victoria,-4.6167,55.45,1586.0089966261596,5.6111,61.5,Africa,0.0
SLE,Sierra Leone,Freetown,8.484,-13.2299,4085.1147942232396,,47.1,Africa,0.0
SGP,Singapore,Singapore,1.2897,103.8501,373217.08185053396,155000.0,85.6,Asia,18267.0
SXM,Sint Maarten (Dutch part),Philipsburg,18.026,-63.0458,,,,Latin America,0.0
SVK,Slovak Republic,Bratislava,48.1482,17.1067,105820.499976721,8971.2428,75.2,Europe ,14.0
SVN,Slovenia,Ljubljana,46.0511,14.5051,54034.3585442622,2089.3864,76.4,Europe ,6.0
SLB,Solomon Islands,Honiara,-9.4333,159.95,1395.6084753222303,0.1713,54.9,Asia,0.0
SOM,Somalia,Muqdisho (Mogadishu),2.0416,45.3435,,,20.0,Africa,0.0
ZAF,South Africa,Cape Town,-33.9258,18.4232,368288.9397683221,2239.9458,65.3,Africa,4013.0
SSD,South Sudan,Juba,4.8517,31.5825,,,31.6,Africa,0.0
ESP,Spain,Madrid,40.4165,-3.7026,1419735.2450046998,16982.2448,77.6,Europe ,83379.0
LKA,Sri Lanka,Colombo,6.9319,79.8478,88425.8895921519,,60.0,Asia,66.0
LCA,St. Lucia,Castries,14.005999999999998,-60.99100000000001,2065.8750740740697,,63.6,Latin America,7.0
MAF,St. Martin (French part),,,,,,,Latin America,0.0
VCT,St. Vincent and the Grenadines,Kingstown,13.1587,-61.2248,811.3,0.0003,57.0,Latin America,-1.0
SUR,Suriname,Paramaribo,5.8664,-55.1668,3458.0904522613105,1.169,47.4,Latin America,-7.0
SWE,Sweden,Stockholm,59.3326,18.0649,555455.371487089,17441.8322,82.2,Europe ,49546.0
CHE,Switzerland,Bern,46.9481,7.4474,705140.6200466999,30136.2426,76.6,Europe ,295783.0
SYR,Syrian Arab Republic,Dimashq (Damascus),33.5086,36.3084,,,41.4,Asia,0.0
TJK,Tajikistan,Dushanbe,38.5358,68.7791,7522.947810123259,,54.3,Europe ,0.0
TZA,Tanzania,Dodoma,-6.1722,35.7395,58001.200572396505,186.2584,54.0,Africa,1.0
THA,Thailand,Krung Thep (Bangkok),13.722000000000001,100.5252,506514.10390526796,44795.082,78.5,Asia,2136.0
TLS,Timor-Leste,Dili,-8.5601,125.5668,1568.61156200556,,38.0,Asia,0.0
TGO,Togo,Lomé,6.1375,1.2123,5356.34485049415,,48.8,Africa,0.0
TON,Tonga,Nuku'alofa,-21.1394,-175.2032,450.353313884584,,61.6,Asia,0.0
TTO,Trinidad and Tobago,Port of Spain,10.6662,-61.5166,23808.1467477994,,61.2,Latin America,165.0
TUN,Tunisia,Tunis,36.819,10.1658,39770.297328950895,,65.3,Africa,1.0
TUR,Turkey,Ankara,39.9199,32.8543,771350.3313727111,3116.828,70.9,Europe ,2175.0
TKM,Turkmenistan,Ashgabat,37.95,58.3833,40761.1428571429,,,Europe ,0.0
TUV,Tuvalu,Funafuti,-8.5189,179.1991,42.5881649731022,,,Asia,0.0
UGA,Uganda,Kampala,0.3163,32.5822,32772.8242089499,19.9126,57.9,Africa,0.0
UKR,Ukraine,Kyiv (Kiev),50.4454,30.5186,130901.85842172,1247.5559,68.1,Europe ,-3.0
ARE,United Arab Emirates,Abu Zaby (Abu Dhabi),24.4648,54.3618,422215.043584969,2395.5695,79.3,Asia,5530.0
GBR,United Kingdom,London,51.5085,-0.1257,2860667.72755197,76926.541,83.2,Europe ,496622.0
URY,Uruguay,Montevideo,-34.8335,-56.1674,59596.8850230917,120.1979,61.0,Latin America,538.0
UZB,Uzbekistan,Tashkent,41.2647,69.2163,50392.6077582324,12.429,66.6,Europe ,0.0
VUT,Vanuatu,Port Vila,-17.7338,168.3219,906.0501069726951,,60.9,Asia,5.0
VEN,"Venezuela, RB",Caracas,10.488,-66.8792,,,30.0,Latin America,1673.0
VNM,Vietnam,Hà Noi,21.0245,105.8412,245213.68636915702,82613.421,67.0,Asia,59.0
YEM,"Yemen, Rep.",Sana'a',15.3531,44.2078,27591.261663286,,31.3,Asia,0.0
ZMB,Zambia,Lusaka,-15.4134,28.2771,27005.2388961666,25.8055,64.2,Africa,-6.0
ZWE,Zimbabwe,Harare,-17.8294,31.0539,24311.5605,9.7194,48.6,Africa,-3.0
,Taiwan,Taibei,25.046999999999997,121.5457,,,80.7,Asia,10512.0
,Western Sahara,El Aaiún,27.1532,-13.2014,,,,Africa,0.0
,Curacao ,,,,,,,Latin America,1335.0
,Sudan ,,,,,,,Africa,0.0
,Vatican City,,,,,,,Europe ,0.0
